chr	start	end	TargetGene	PctChange	Significant	Regulated	IncludeInModel	CustomTargetGeneTSS	strand	PrimaryTissue	NeighborhoodCellLine	PerturbMethod	Clonality	RNAReadoutMethod	Reference	Notes	Reason	nKO	semKO	nCtrl	semCtrl	lfcSE	padj	ClassAnnotation	nTests	PowerAtEffectSize=0.1	PowerAtEffectSize=0.2	PowerAtEffectSize=0.25	PowerAtEffectSize=0.5	CellType	TargetGeneTSS	region.id
chr8	128911142	128911209	MYC	-0.35884	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.007516774	13	0.005971433	NA	2.44e-11		8	1	1	1	1	K562	NA	NA
chr8	128972637	128972748	MYC	-0.63593	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.009993433	13	0.005971433	NA	3.73e-14		8	0.999999991	1	1	1	K562	NA	NA
chr8	129057457	129057958	MYC	-0.39174	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.05928856	13	0.005971433	NA	8.24e-10		8	0.794207279	0.993777746	0.999578643	1	K562	NA	NA
chr8	129061537	129061789	MYC	-0.14857	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.068655169	13	0.005971433	NA	5.08e-05		8	0.739737128	0.981852694	0.997592446	1	K562	NA	NA
chr8	130594026	130594707	MYC	-0.19013	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.004870084	13	0.005971433	NA	2.16e-08		8	1	1	1	1	K562	NA	NA
chr8	130701606	130701940	MYC	-0.25125	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.013344977	13	0.005971433	NA	1.32e-09		8	0.999995606	1	1	1	K562	NA	NA
chr8	130704704	130705463	MYC	-0.22305	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.058664754	13	0.005971433	NA	3.12e-07		8	0.798091674	0.994307636	0.999635696	1	K562	NA	NA
chr8	130594026	130594707	PVT1-TSS1	-0.030062	FALSE	FALSE	TRUE	129057561	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.040439431	13	0.00498487	NA	0.105553545		8	0.934475398	0.999963184	0.999999896	1	K562	NA	NA
chr8	130701606	130701940	PVT1-TSS1	-0.0501	TRUE	TRUE	TRUE	129057561	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.005830686	13	0.00498487	NA	0.002576425		8	1	1	1	1	K562	NA	NA
chr8	130704704	130705463	PVT1-TSS1	-0.053507	TRUE	TRUE	TRUE	129057561	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.019316952	13	0.00498487	NA	0.002576425		8	0.99973145	1	1	1	K562	NA	NA
chr8	128911142	128911209	CCDC26	0.028712	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.020819556	13	0.007589679	NA	0.249567731		8	0.993320763	1	1	1	K562	NA	NA
chr8	128972637	128972748	CCDC26	0.1603803	TRUE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.025622105	13	0.007589679	NA	8.62e-06		8	0.97798405	0.999999996	1	1	K562	NA	NA
chr8	129057457	129057958	CCDC26	0.0805629	TRUE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.025366998	13	0.007589679	NA	0.003679889		8	0.97905378	0.999999997	1	1	K562	NA	NA
chr8	129061537	129061789	CCDC26	-0.0020247	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.017149125	13	0.007589679	NA	0.871160355		8	0.998450553	1	1	1	K562	NA	NA
chr8	130594026	130594707	CCDC26	-0.918615	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.013425962	13	0.007589679	NA	7.8e-15		8	0.999858881	1	1	1	K562	NA	NA
chr8	130701606	130701940	CCDC26	-0.4234876	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.013544471	13	0.007589679	NA	7.84e-11		8	0.999844498	1	1	1	K562	NA	NA
chr8	130704704	130705463	CCDC26	-0.4055884	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study		NA	2	0.074017159	13	0.007589679	NA	9.98e-09		8	0.684457348	0.965938383	0.993723167	0.999999998	K562	NA	NA
chr12	56400867	56400888	SUOX	-0.527499842	TRUE	TRUE	TRUE	NA	*	NA	K562	dCas9-KRAB	polyclonal	qPCR	Qi2018	one enhancer sgRNA with 3 replicates versus 3 replicates for GFP or no plasmid control	NA	3	0.031398433	6	0.047692992	NA	0.00017022	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chrX	48641372	48641493	GATA1	-0.44	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates	NA	6	0.0241	15	0.01086	NA	NA	Enhancer	1	0.976186374	0.999999996	1	1	K562	NA	NA
chrX	48659028	48659074	GATA1	-0.33	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates	NA	6	0.0284	15	0.01086	NA	NA	Enhancer	1	0.945297528	0.999999495	1	1	K562	NA	NA
chrX	48641372	48641493	HDAC6	-0.42	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates	NA	6	0.0212	15	0.016	NA	NA	Enhancer	1	0.933257969	0.99999993	1	1	K562	NA	NA
chrX	48659028	48659074	HDAC6	-0.22	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates	NA	6	0.042	15	0.016	NA	NA	Enhancer	1	0.705188358	0.997148208	0.999947089	1	K562	NA	NA
chrX	48644930	48644969	HDAC6	0.47	TRUE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates	NA	6	0.0213	15	0.016	NA	NA	PromoterCompetitor	1	0.93239445	0.999999923	1	1	K562	NA	NA
